Date,Petrol (USD),Diesel (USD),,,,,,,
15-08-2011,135.95,140.36,,,,,,,
22-08-2011,134.56,139.04,,,,,,,
29-08-2011,134.32,138.72,,,,,,,
05-09-2011,134.62,138.96,,,,,,,
12-09-2011,135.00,139.40,,,,,,,
19-09-2011,135.40,139.86,,,,,,,
26-09-2011,135.65,140.14,,,,,,,
03-10-2011,135.02,139.77,,,,,,,
10-10-2011,134.47,139.52,,,,,,,
17-10-2011,134.49,139.73,,,,,,,
24-10-2011,134.66,140.19,,,,,,,
31-10-2011,134.73,140.27,,,,,,,
07-11-2011,134.41,140.42,,,,,,,
14-11-2011,133.68,140.53,,,,,,,
21-11-2011,133.38,141.06,,,,,,,
28-11-2011,133.17,141.10,,,,,,,
05-12-2011,132.78,140.99,,,,,,,
12-12-2011,132.53,140.95,,,,,,,
19-12-2011,132.49,140.93,,,,,,,
26-12-2011,132.41,140.77,,,,,,,
02-01-2012,132.40,140.84,,,,,,,
09-01-2012,132.68,141.00,,,,,,,
16-01-2012,133.29,141.69,,,,,,,
23-01-2012,133.72,142.06,,,,,,,
30-01-2012,134.10,142.45,,,,,,,
06-02-2012,134.25,142.24,,,,,,,
13-02-2012,134.90,142.83,,,,,,,
20-02-2012,135.21,143.15,,,,,,,
27-02-2012,136.21,143.92,,,,,,,
05-03-2012,137.30,144.71,,,,,,,
12-03-2012,137.90,145.15,,,,,,,
19-03-2012,138.96,146.16,,,,,,,
26-03-2012,139.48,146.56,,,,,,,
02-04-2012,140.99,147.68,,,,,,,
09-04-2012,141.97,148.00,,,,,,,
16-04-2012,142.17,148.04,,,,,,,
23-04-2012,141.76,147.96,,,,,,,
30-04-2012,141.00,147.05,,,,,,,
07-05-2012,140.14,146.40,,,,,,,
14-05-2012,138.29,144.52,,,,,,,
21-05-2012,135.77,141.75,,,,,,,
28-05-2012,134.37,140.49,,,,,,,
04-06-2012,134.06,139.96,,,,,,,
11-06-2012,133.67,139.58,,,,,,,
18-06-2012,131.99,137.71,,,,,,,
25-06-2012,131.55,137.20,,,,,,,
02-07-2012,130.50,135.91,,,,,,,
09-07-2012,131.06,136.44,,,,,,,
16-07-2012,131.49,136.85,,,,,,,
23-07-2012,132.21,137.72,,,,,,,
30-07-2012,132.78,138.25,,,,,,,
06-08-2012,133.39,138.79,,,,,,,
13-08-2012,134.27,139.46,,,,,,,
20-08-2012,135.72,140.79,,,,,,,
27-08-2012,137.10,142.17,,,,,,,
03-09-2012,138.03,142.87,,,,,,,
10-09-2012,138.91,143.66,,,,,,,
17-09-2012,139.42,144.18,,,,,,,
24-09-2012,139.54,144.36,,,,,,,
01-10-2012,138.43,143.28,,,,,,,
08-10-2012,138.24,143.05,,,,,,,
15-10-2012,138.35,143.23,,,,,,,
22-10-2012,138.29,143.23,,,,,,,
29-10-2012,136.98,143.00,,,,,,,
